,sentence1,sentence2,similarity_score,sent1_len,sent2_len,aug1
938,Las mujeres se están sentando.,Dos mujeres están sentadas cerca una de la otra y hablan.,0.5199999809265137,5,11,Las damas se encuentran sentadas.
939,Un hombre saca un par de revueltos de tostadora de un paquete de plástico.,Un hombre saca comida de una bolsa.,0.35,14,7,Un hombre saca un par de huevos revueltos de un paquete de plástico.
940,Una mujer está bailando junto al fuego.,Un hombre ata una soga.,0.0,7,5,Una dama se encuentra danzando junto a las llamas.
941,Un hombre está meditando.,El hombre está montando el caballo.,0.15,4,6,Un varón se halla en meditación.
942,Un chico está cortando papel.,Un hombre está cargando un rifle.,0.0,5,6,Un muchacho está recortando papel.
943,El hombre habló por teléfono.,Las chicas están caminando por el escenario.,0.0,5,7,El caballero entabló conversación telefónica.
944,Un hombre está tocando la guitarra y cantando.,Un hombre está abriendo un paquete que contiene auriculares.,0.1600000023841858,8,9,Un hombre se dedica a tañer la guitarra y entonar canciones.
945,el jugador de fútbol pateó el balón de lado a lado entre sus piernas.,Una persona está pateando un balón de fútbol entre sus pies.,0.6800000190734863,14,11,El futbolista dio patadas al balón de un lado a otro entre sus piernas.
946,Un animal está caminando.,Una mujer se está maquillando los ojos.,0.0,4,7,Una criatura está andando.
947,Alguien está rascando la barriga de un animal.,Una mujer está acariciando un lémur.,0.4,8,6,Alguien está acariciando el vientre de una bestia.
948,Un hombre está levantando pesos pesados.,Un ualabí está lamiendo la mano de una mujer.,0.05,6,9,Un varón está alzando pesas pesadas.
949,Un niño está jugando con un juguete.,Un niño juega un juego de mano.,0.6,7,7,Un infante se divierte con un juguete.
950,Un hombre se zambulle en un acantilado.,Un hombre está montando una motocicleta.,0.13339999914169312,7,6,Un varón se sumerge desde un risco.
951,Un hombre está saliendo al agua.,Un hombre se levanta de un pantano.,0.6400000095367432,6,7,Un individuo se adentra en el agua.
952,Un hombre y una mujer bailan.,Un hombre está acariciando a un perro.,0.06660000085830689,6,7,Una pareja se encuentra bailando.
953,Un hombre está barriendo el suelo de una casa con una escoba larga.,El hombre barrió la sala de estar vacía.,0.6665999889373779,13,8,Un hombre barría el piso de una vivienda con un cepillo largo.
954,Un grupo de parejas está bailando.,Los hombres y las mujeres están bailando lentamente.,0.6665999889373779,6,8,Un conjunto de parejas se hallan bailando.
955,Un hombre está escalando un pez.,Un hombre vierte un poco de aceite de cocina en una olla.,0.2,6,12,Un hombre se encontraba escalando un pez.
956,El hombre preparó su cámara para tomar fotos de la puesta de sol en la playa.,Un hombre está tomando fotos de un lago.,0.4400000095367432,16,8,El individuo ajustó su cámara para capturar imágenes del ocaso en la playa.
957,Alguien está sosteniendo y acariciando un tigre bebé.,Alguien está enjuagando un gran filete de carne en el fregadero de la cocina.,0.0800000011920929,8,14,Alguien está sujetando y acariciando a un cachorro de tigre.
958,El hombre está tocando la guitarra.,El gato se limpió la cara con su pata.,0.0,6,9,El varón se encuentra tocando la guitarra.
959,El hombre hizo flexiones en una pared.,El hombre probó la comida.,0.05,7,5,El hombre realizó flexiones contra una pared.
960,Una mujer corta un vegetal.,Una mujer está cortando una planta de huevo.,0.45,5,8,Una dama divide un vegetal.
961,Una persona rompe un huevo en un pequeño tazón.,Un hombre rompe un huevo.,0.5199999809265137,9,5,Un individuo parte un huevo en un diminuto cuenco.
962,Un hombre está tocando el teclado.,Un hombre está montando un toro mecánico.,0.24000000953674316,6,7,Un caballero tañe el teclado.
963,Un perro está corriendo alrededor de un patio.,Un perro de mascota negro corre por el jardín de una casa.,0.6400000095367432,8,12,Un can está corriendo alrededor de un jardín.
964,Un niño está caminando por la calle mientras un jeep se detiene.,Una mujer está caminando por una carretera y un hombre en un coche se acerca a su lado.,0.27999999523162844,12,18,Un pequeño camina por la vía mientras un todoterreno se detiene.
965,Un hombre está añadiendo aceite a una olla.,Un perro está atrapando un pez en un río.,0.04000000059604645,8,9,Un hombre vierte aceite en un caldero.
966,La chica bailó frente a la hoguera.,Una mujer está bailando al ritmo de la música cerca de una hoguera.,0.55,7,13,La joven danzó delante de la fogata.
967,Un hombre está cortando mantequilla en un recipiente.,Una mujer está cortando camarones.,0.12000000476837158,8,5,Un hombre corta mantequilla en un envase.
968,Una chica es arrastrada cuesta abajo por un perro.,Un perro está tirando de un niño por una colina.,0.7599999904632568,9,10,Una muchacha es arrastrada por una pendiente por un perro.
969,El hombre se quitó las gafas de sol mientras hablaba.,Un hombre con un casco se quita las gafas mientras habla.,0.6800000190734863,10,11,El hombre se retiró los lentes oscuros mientras conversaba.
970,Los dos hombres hicieron una divertida representación con un boxeador frente a una multitud.,Los chicos están bailando delante de la gente.,0.3,14,8,Los dos individuos llevaron a cabo una entretenida actuación con un pugilista ante un público.
971,La chica está arreglando su cama.,Una mujer está haciendo la cama.,0.5,6,6,La joven está acomodando su lecho.
972,Someoen está cocinando cebollas.,Un hombre está balanceando nunchakus.,0.0,4,5,Alguien está preparando cebollas.
973,El hombre está usando un trineo para romper el bloque de hormigón que está sobre el otro hombre.,Un hombre rompe una losa de hormigón que está tendida sobre un hombre propenso con un martillo de trineo.,1.0,18,19,El hombre está utilizando un trineo para destruir el bloque de concreto que se encuentra sobre el otro individuo.
974,La señora puso los fideos secos en el agua caliente para cocinarlos.,Una mujer coloca un recipiente de fideos en una cacerola con agua.,0.8666000366210938,12,12,La dama colocó los fideos secos en el agua hirviendo para cocinarlos.
975,Las chicas bailaron en el escenario.,Una chica se está maquillando.,0.06660000085830689,6,5,Las chicas bailaron en la tarima.
976,Un oso panda se está acostando.,Un bebé panda se relaja en unos troncos.,0.6665999889373779,6,8,Un oso panda se está acostando.
977,Dos niños están jugando en una piscina con una carroza de cocodrilo de color verde.,Dos niños empujan un cocodrilo inflable en una piscina.,0.8399999618530274,15,9,Dos niños están jugando en una piscina con un carro de cocodrilo de color verde.
978,Un par de mujeres policías están cantando en el karaoke.,Dos mujeres están bailando.,0.1600000023841858,10,4,Un par de mujeres oficiales de policía están cantando en el karaoke.
979,Un hombre está poniendo brócoli en el agua.,Una persona está pelando una patata.,0.2,8,6,Un hombre está colocando brócoli en el agua.
980,El doctor estaba ayudando al paciente.,Los médicos están tratando de revivir a un hombre.,0.5599999904632569,6,9,El médico asistía al enfermo.
981,Algunos están rallando cebollas en el agua.,Una persona ralla una patata en un tazón.,0.3,7,8,Algunos individuos están cortando cebollas en el agua.
982,Un bebé está hablando.,Un chico está tratando de decir camión de bomberos.,0.24000000953674316,4,9,Un niño pequeño está hablando.
983,Una mujer hierve los huevos.,Una mujer coloca dos huevos en una olla de agua.,0.6,5,10,Una dama está hirviendo los huevos.
984,Una mujer pone ingredientes en un huevo batido.,Un hombre vierte gasolina.,0.0,8,4,Una mujer añade ingredientes a un huevo batido.
985,Una mujer está cortando mango.,Un hombre está poniendo queso en una tortilla.,0.12000000476837158,5,8,Una mujer se encuentra cortando un mango.
986,Una chica está cortando una mantequilla en dos trozos.,Una mujer está cortando tofu.,0.2,9,5,Una joven está partiendo una mantequilla en dos porciones.
987,Un hombre está tocando la guitarra.,Una persona está cortando una carne en pedazos.,0.0,6,8,Un hombre está tañendo la guitarra.
988,Un hombre está abriendo un paquete que contiene auriculares.,Una mujer está montando a caballo.,0.0,9,6,Un caballero está abriendo un paquete que incluye auriculares.
989,Una chica está tocando una guitarra.,Un niño está jugando con un teclado entre la gente.,0.2,6,10,Una muchacha está tocando una guitarra.
990,Una niña pequeña toca el violín en una playa.,La chica se sentó en el sofá para hacer ganchillo.,0.0,9,10,Una niña diminuta interpreta el violín en la orilla del mar.
991,Un mono es un karate que patea la mano enguantada de alguien.,Un mono practica artes marciales.,0.7,12,5,Un simio experto en karate golpea la mano enguantada de alguien.
992,Una hembra le aplica algo en el pelo con las manos.,Un gato está comiendo una rebanada de sandía.,0.0,11,8,Una mujer le aplica un producto en el cabello con sus manos.
993,Un hombre está dando patadas de karate a otro hombre que lleva guantes protectores de boxeo.,Un hombre está haciendo kick boxing con un entrenador.,0.5,16,9,Un hombre está realizando patadas de karate a otro hombre que lleva puestos guantes de boxeo protectores.
994,El hombre está tocando la flauta de madera.,Un niño pequeño está aspirando el suelo.,0.0,8,7,El hombre está interpretando una flauta de madera.
995,Una joven está tocando una guitarra.,Una mujer corta algo de carne.,0.15,6,6,Una joven está tañendo una guitarra.
996,Los hombres están jugando al fútbol.,Un hombre está montando una motocicleta.,0.0,6,6,Los varones están jugando un partido de fútbol.
997,Una mujer está corriendo en la playa.,Un perro está nadando en una piscina.,0.0,7,7,Una dama está corriendo en la costa.
998,Un hombre está colando la pasta.,Un hombre toca una flauta de madera.,0.0,6,7,Un hombre está escurriendo la pasta.
999,El juego de Panda en un columpio.,Un hombre está tocando la guitarra.,0.1600000023841858,7,6,El juego del Panda en una hamaca.
1000,Dos trenes verdes y blancos sentados en las vías.,Dos trenes verdes y blancos en las vías.,0.8800000190734864,9,8,Dos locomotoras de color verde y blanco estacionadas en las vías férreas.
1001,Un pequeño gato blanco con ojos brillantes parado debajo de una silla.,Un gato blanco está de pie en el suelo.,0.5199999809265137,12,9,Un felino de pelaje blanco y ojos centelleantes situado bajo una silla.
1002,Un gran barco en el agua en el puerto deportivo.,Un gran barco en el mar.,0.6400000095367432,10,6,Un imponente navío surcando las aguas en el puerto deportivo.
1003,...un autobús en una calle.,Un autobús rojo de dos pisos que va por la calle.,0.8,5,11,...un autobús transitando por una calle.
1004,Un tren de pasajeros esperando en una estación.,Un tren de pasajeros se sienta en la estación.,0.9600000381469727,8,9,Un tren de pasajeros aguardando en una estación ferroviaria.
1005,una mujer en la mesa de la cena escribiendo en su cuaderno.,La mujer de la mesa ocupada con algo.,0.6800000190734863,12,8,Una mujer sentada a la mesa de la cena garabateando en su libreta.
1006,Un ordenador Apple sentado en el suelo.,Un ordenador Macintosh sentado en el suelo.,0.7599999904632568,7,7,Un ordenador de la marca Apple descansando en el suelo.
1007,Un primer plano de la cabeza de un caballo marrón.,Una vista lateral de la cabeza de un caballo.,0.6800000190734863,10,9,Un primer plano de la cabeza de un equino de color marrón.
1008,Un grupo de personas come en una mesa afuera.,Grupo de ancianos sentados alrededor de una mesa.,0.5599999904632569,9,8,Un conjunto de personas disfrutando de una comida al aire libre.
1009,Un jockey montando a caballo.,Un jinete que monta un caballo en un corral.,0.7599999904632568,5,9,Un jinete cabalgando sobre un corcel.
1010,El hombre va en moto por la carretera.,Un hombre está conduciendo una motocicleta roja en la carretera.,0.8,8,10,Un individuo se desplaza en motocicleta por la vía.
1011,Una mujer montando un caballo marrón.,Una chica joven montando un caballo marrón.,0.7599999904632568,6,7,Una dama jineteado un caballo castaño.
1012,Un niño saltando una cornisa con una bicicleta.,Un gato blanco y negro jugando con una manta.,0.0,8,9,Un pequeño brincando un alféizar con una bicicleta.
1013,Un perro negro parado frente a las flores amarillas.,Un perro negro parado en un campo.,0.6,9,7,Un canino oscuro detenido enfrente de las flores amarillentas.
1014,El cierre de una botella de agua.,Una vista de cerca de una botella de agua.,0.8800000190734864,7,9,El cierre de un frasco de agua.
1015,Un primer plano de un gato de cara marrón.,Un primer plano de una cara de avestruz.,0.12000000476837158,9,8,Un primer plano de un felino de rostro marrón.
1016,ovejas de pie en el campo.,Una oveja pastando en un campo.,0.6400000095367432,6,6,Ovinos en pie en el terreno.
1017,Un gato de pelo largo con los ojos cerrados.,Un primer plano de un gato con los ojos cerrados.,0.7199999809265136,9,10,Un gato de pelaje extenso con los ojos cerrados.
1018,Una mujer con una camisa gris sonríe para la cámara mientras la mujer detrás de ella hace una cara.,Una mujer con una mirada de sorpresa en su cara está sosteniendo a una mujer sonriente por detrás.,0.5199999809265137,19,18,Una mujer con una blusa gris sonríe para el lente mientras la mujer tras ella hace un gesto.
1019,Un tren Amtrak plateado y azul sobre las vías cerca de una pequeña estación de tren.,Un pequeño coche blanco aparcado en la gasolinera.,0.12000000476837158,16,8,Un tren Amtrak plateado y azul sobre los rieles cerca de una pequeña estación ferroviaria.
1020,Una persona con camisa azul se reclina cerca de una mesa de café y un televisor.,Una persona se para en el asiento de la motocicleta y hace un caballito.,0.0,16,14,Un individuo vestido con una camiseta azul se recuesta junto a una mesa baja para café y una televisión.
1021,Una foto en blanco y negro de una mujer mostrando un caballo.,una foto en blanco y negro de las vacas en sus establos.,0.27999999523162844,12,12,Una imagen monocromática de una dama exhibiendo un equino.
1022,Un caballo marrón oscuro de pie en un campo.,Un caballo marrón se encuentra en un exuberante campo verde.,0.8399999618530274,9,10,Un corcel de tonalidad marrón oscura se halla en un terreno.
1023,Una tienda de campaña con un caballo al fondo.,Un cordero blanco y negro con otros corderos al fondo.,0.0,9,10,Una carpa con un equino visible en el fondo.
1024,Un grupo de personas sentadas alrededor de una mesa con comida.,Un grupo de gente se sienta alrededor de una mesa con comida y cerveza.,0.8,11,14,Varias personas se hallan sentadas alrededor de una mesa con alimentos.
1025,Un caballo marrón se encuentra en un exuberante campo verde.,Un caballo marrón en un campo verde.,0.7599999904632568,10,7,Un equino de color castaño se encuentra en un verde y frondoso prado.
1026,una vaca blanca y negra en el heno.,Una vaca blanca y negra en un corral con heno.,0.8,8,10,Una vaca de color blanco y negro se encuentra en un montón de heno.
1027,Una anciana está en una cocina con dos gatos a sus pies.,La anciana está de pie en la cocina con dos gatos a sus pies.,1.0,12,14,Una mujer de edad avanzada se encuentra en una cocina con dos felinos a sus pies.
1028,Un autobús escolar va cuesta arriba en un camino rural.,Una carrera de cuidado conduciendo por un camino de tierra.,0.2,10,10,Un autobús escolar se dirige cuesta arriba por una carretera rural.
1029,Avión camuflado sentado en un campo de hierba.,Un avión camuflado sentado en la hierba verde.,0.8800000190734864,8,8,Un avión de combate mimetizado se sitúa en un campo de césped.
1030,Tres mujeres jóvenes de pie en una habitación juntas.,Dos mujeres indias con dos niñas indias cerca del agua.,0.0800000011920929,9,10,Tres damas jóvenes se encuentran de pie en una estancia unidas.
1031,Autobús rojo de dos pisos que circula por las calles.,Un autobús de pasajeros de dos pisos que circula con el tráfico.,0.8,10,12,Autobús de dos plantas y color rojo que se desplaza por las vías.
1032,Una oveja blanca en una ladera mirando a la cámara.,Las vacas flacas están paradas en el pasto.,0.24000000953674316,10,8,"Una ovina de pelaje blanco en una pendiente, dirigiendo su mirada hacia la lente."
1033,Un grupo de ovejas en un campo.,Un grupo de caballos pastando en un campo.,0.3200000047683716,7,8,Rebaño de ovejas en un terreno abierto.
1034,Una foto cercana y distorsionada de una botella de Coca-Cola de vidrio vacía.,Una foto de cerca de un escritorio con una computadora y papeles en ella.,0.0,14,14,Una fotografía detallada y deformada de una botella vacía de Coca-Cola de cristal.
1035,Un escritorio de oficina muy concurrido con el monitor de la computadora encendido.,Un desordenado escritorio de ordenador con dos monitores.,0.6,13,8,Un espacio de trabajo muy ocupado con la pantalla del ordenador encendida.
1036,Un hombre sentado en una habitación desordenada.,Un hombre yace en una cama en una habitación desordenada.,0.6400000095367432,7,10,Un caballero se halla sentado en un cuarto desordenado.
1037,Dos vacas blancas en un pasto verde.,El caballo bronceado está en el pasto.,0.27999999523162844,7,7,Dos reses blancas en una pradera verde.
1038,Vaca negra caminando bajo los árboles en los pastos.,Vaca caminando bajo el árbol en un pasto.,0.7599999904632568,9,8,Vaca de color negro paseando bajo los árboles en las praderas.
1039,Dos personas sentadas en una mesa de un restaurante.,cuatro personas sentadas en una mesa.,0.3599999904632568,9,6,Dos individuos ubicados en una mesa de un local de comida.
1040,Una mujer sonriente con una cerveza sentada afuera con otra mujer sonriente.,Dos mujeres sentadas afuera riéndose.,0.6400000095367432,12,5,Una dama con una expresión alegre disfruta de una cerveza al aire libre en compañía de otra mujer sonriente.
1041,Un pájaro aferrándose a una puerta de metal.,Un pájaro multicolor se aferra a una alambrada.,0.6400000095367432,8,8,Un ave se aferra a una puerta metálica.
1042,Las vacas flacas están paradas en el pasto.,Los patos blancos están de pie en el suelo.,0.12000000476837158,8,9,Vacas delgadas se encuentran en el prado.
1043,Una mujer acostada sobre dos hombres sentados en un sofá.,Un hombre y dos mujeres sonriendo a la cámara mientras están sentados en un sofá azul.,0.4400000095367432,10,16,Una mujer descansa sobre dos hombres sentados en un sofá.
1044,una mujer con un gran collar.,Una joven con un top negro y un collar.,0.6800000190734863,6,9,Mujer que luce un collar de gran tamaño.
1045,Vaca marrón con cuernos en un campo.,Caballo marrón parado en medio del campo de hierba.,0.3599999904632568,7,9,Vaca de pelaje marrón y con cuernos en un campo.
1046,Un crucero atracado en la costa.,Un crucero atracado en la orilla.,0.8800000190734864,6,6,Un crucero amarrado en la orilla.
1047,Gato blanco y negro acostado bajo el arbusto.,El gato blanco y negro con ojos amarillos se asolea en la tierra.,0.48000001907348633,8,13,Felino de pelaje blanco y negro descansa bajo el arbusto.
1048,Vaca marrón y blanca de pie en la hierba al lado de la carretera.,Una vaca marrón y blanca de pie en una zona de hierba con árboles detrás.,0.7199999809265136,14,15,Vaca de color marrón y blanco se mantiene en pie en la hierba junto a la carretera.
1049,Un pequeño perro mirando a la cámara mientras está de pie en la hierba.,Un hombre y una mujer sonriendo a la cámara mientras están de pie en una cocina.,0.1600000023841858,14,16,Un perro de pequeño tamaño observa a la cámara mientras se encuentra de pie en la hierba.
1050,Un becerro bronceado con una etiqueta amarilla en su oreja izquierda mirando a la cámara.,Un hombre con gafas y dos botellas de plástico en primer plano.,0.12000000476837158,15,12,Un ternero de bronce con una marca amarilla en su oreja izquierda posa frente a la lente.
1051,Foto en blanco y negro del sofá con el bolso en un extremo.,una foto en blanco y negro de una vaca bajo un árbol.,0.0,13,12,Imagen monocromática de un sofá acompañado por un bolso en uno de sus extremos.
1052,Dos hombres en un barco flotando en el agua.,Un gran barco verde flotando en el agua.,0.48000001907348633,9,8,Dos individuos se encuentran en una embarcación flotando sobre el agua.
1053,Esta es una vista trasera de un auto deportivo Chevrolet.,La vista trasera de un concept car Chevrolet rojo.,0.7199999809265136,10,9,Esta es una perspectiva posterior de un Chevrolet deportivo.
1054,Una persona que lleva un casco monta una bicicleta cerca de una estructura blanca.,Una persona que lleva un casco de bicicleta monta una bicicleta en un camino a través de los árboles.,0.6400000095367432,14,19,Un individuo con un casco monta una bicicleta cerca de una construcción blanca.
1055,Una foto en blanco y negro de una vieja estación de tren.,Una foto en blanco y negro de una motocicleta tirada en el suelo.,0.04000000059604645,12,13,Una fotografía monocromática de una antigua estación ferroviaria.
1056,Un gato atigrado gris y blanco está durmiendo en una tela púrpura.,Gato blanco y negro durmiendo en una lona marrón.,0.48000001907348633,12,9,Un felino gris y blanco jaspeado descansa sobre un tejido morado.
1057,Una mujer sosteniendo un pequeño bebé.,Una mujer sonriente sosteniendo un pequeño bebé.,0.8,6,7,Una mujer sostiene a un pequeño infante.
1058,Grupo de caballos pastando en un campo de hierba.,Un grupo de caballos pastando en un campo.,0.9199999809265137,9,8,Conjunto de equinos que pacen en un prado de hierba.
1059,Tres hombres están sentados en una mesa que tiene bebidas.,Tres hombres sentados en la mesa con cerveza y comida.,0.6800000190734863,10,10,Tres hombres se encuentran sentados en una mesa con bebidas sobre ella.
1060,Dos personas vestidas de blanco paradas en un campo de hierba.,Una persona está parada debajo de un paso elevado cerca de una autopista.,0.0800000011920929,11,13,Dos individuos ataviados en blanco se encuentran de pie en un prado verde.
1061,Un gato atigrado naranja durmiendo en el sofá.,Un hombre está viendo la televisión a los pies de su cama.,0.12000000476837158,8,12,Un felino de rayas anaranjadas descansa sobre el sofá.
1062,Dos Águilas posadas en una rama.,Dos águilas calvas posadas en una rama.,0.7599999904632568,6,7,Un par de águilas se posan en una rama de árbol.
1063,Un gato rayado acostado en una bolsa de arena para gatos.,Gato doméstico acostado en la parte posterior de la arena para gatos.,0.7599999904632568,11,12,Un gato listado reposa en un arenero para felinos.
1064,Un hombre y un niño pequeño en una sala de estar posando para la cámara.,Un hombre y una mujer están posando para la cámara.,0.48000001907348633,15,10,Un adulto y un niño de corta edad se disponen en un salón para una fotografía.
1065,Una oficina en casa con tres monitores de ordenador y otros equipos en un escritorio.,Habitación con varios monitores de ordenador.,0.6,15,6,Un espacio de trabajo en casa equipado con tres pantallas de computadora y otros dispositivos sobre un escritorio.
1066,Cinco pájaros se paran en la nieve.,Varios cardenales están de pie en la nieve.,0.7599999904632568,7,8,Cinco aves se detienen en la nieve.
1067,Un vehículo negro estacionado con una variedad de montañas bajas.,Un auto negro estacionado en la tierra en el campo.,0.5199999809265137,10,10,Un automóvil negro aparcado frente a una serie de colinas de baja altura.
1068,Un tren de pasajeros en la nieve.,Un tren de pasajeros esperando en una estación.,0.4400000095367432,7,8,Un tren de pasajeros circula entre la nieve.
1069,El pájaro negro está sentado en el suelo.,Un mirlo sentado en el suelo.,1.0,8,6,El ave de plumaje negro se halla sentada en el suelo.
1070,El toro blanco y negro está mirando a la cámara.,Un perro blanco y negro mirando a la cámara.,0.4,10,9,El bóvido de color blanco y negro dirige su mirada hacia la cámara.
1071,Una joven montada en un caballo blanco y gris.,Una joven rubia con equipo de montar se sienta en la cima de un caballo gris y blanco.,0.7599999904632568,9,18,Una joven a lomos de un equino blanco y grisado.
1072,Una oveja blanca y negra camina junto a una oveja blanca.,Un pequeño becerro blanco y negro con una etiqueta en la oreja.,0.1600000023841858,11,12,Una oveja de pelaje blanco y negro camina acompañada de otra oveja de color blanco.
1073,Una sala de estar con una mesa de comedor al fondo.,Un chico haciendo un caballito en un tablón con la playa al fondo.,0.0,11,13,Un salón con una mesa de comedor situada en el fondo.
1074,La mesa del comedor recibe algo de sol de la tarde.,Comedor con mesa de comedor de madera con compañeros de juego.,0.4400000095367432,11,11,La mesa del comedor recibe algunos rayos de sol de la tarde.
1075,Un ciclomotor rojo aparcado en una acera delante de un grafiti.,El scooter rojo está sentado en la calle frente al edificio.,0.7199999809265136,11,11,Una motocicleta roja estacionada en una acera frente a un grafiti.
1076,La gaviota está flotando en el agua.,Un pequeño pájaro flotando en el agua.,0.7199999809265136,7,7,La gaviota se mantiene a flote sobre el agua.
1077,Un perro negro está de pie junto a los materiales en una obra de construcción.,Una niña asiática se sienta junto a una maceta de flores en un poste de mármol.,0.0,15,16,Un canino negro se encuentra de pie junto a los materiales en una obra en construcción.
1078,Una mujer posando frente a un edificio de apartamentos en la nieve.,Una mujer está de pie frente a un edificio en la nieve.,0.8800000190734864,12,12,Una mujer posa delante de un edificio de apartamentos en medio de la nieve.
1079,Cinco vacas están pastando al lado del camino.,Varias ovejas pastando en el campo.,0.2,8,6,Cinco vacas están alimentándose junto al borde del camino.
1080,Dos cabras montesas pastando frente a un lago alpino.,"Dos animales pastando junto a una montaña, y un cuerpo de agua.",0.6400000095367432,9,12,Dos chivas de montaña se alimentan frente a un lago de alta montaña.
1081,Vacas blancas y negras detrás de una valla.,Dos vacas blancas y negras detrás de una puerta metálica contra un cielo azul parcialmente nublado.,0.6400000095367432,8,16,Vacas de color blanco y negro se encuentran detrás de una cerca.
1082,Un tren de pasajeros esperando en una estación.,Un tren de pasajeros esperando en la estación de tren de la ciudad.,0.8,8,13,Un convoy de pasajeros aguarda en una estación ferroviaria.
1083,Un animal blanco que corre por los bosques cubiertos de nieve.,Un perro blanco corre a través de un bosque cubierto de nieve.,0.6800000190734863,11,12,Una criatura blanca corretea a través de los bosques nevados.
1084,Un hombre sentado en la hierba mirando hacia el cielo.,El tren va por las vías en la nieve.,0.0,10,9,"Un hombre se halla sentado en el césped, mirando hacia el firmamento."
1085,Un televisor negro de pantalla plana colocado en el suelo.,Un televisor de pantalla plana en el suelo.,0.8,10,8,Un televisor negro de pantalla plana se encuentra colocado en el piso.
1086,Una bicicleta plateada está aparcada en una sala de estar.,Una bicicleta en un comedor.,0.48000001907348633,10,5,Una bicicleta plateada está estacionada en una sala de estar.
1087,Tren negro en las vías del tren.,Un tren en las vías del tren.,0.8199999809265137,7,7,Tren negro sobre las vías férreas.
1088,Tren negro en las vías del tren.,Un tren en las vías del tren.,0.8199999809265137,7,7,Tren negro sobre las vías férreas.
1089,Un gato atigrado naranja durmiendo en el sofá.,Un hombre con un babero sentado en un sofá verde.,0.0,8,10,Un gato atigrado de color naranja duerme en el sofá.
1090,El águila calva está posada en una cuerda.,Dos águilas calvas posadas en una rama.,0.5199999809265137,8,7,El águila careca se encuentra perchada sobre una cuerda.
1091,Una pareja posando para una foto en un sofá.,Pareja joven sentada en el sofá.,0.8,9,6,Una dupla se dispone para una instantánea en un sofá.
1092,Los hombres están tocando una guitarra y tomando una copa.,Hay un joven con una chaqueta roja y azul alimentando a una oveja.,0.0,10,13,Los varones están interpretando una melodía con una guitarra y saboreando una bebida.
1093,Dos gatos sentados juntos en el sofá mirando por la ventana.,Dos gatos están mirando a una ventana.,0.7599999904632568,11,7,Dos felinos se hallan juntos en el sofá observando a través del ventanal.
1094,Autobús rojo de dos pisos.,Autobús rojo de dos pisos con la capucha puesta.,0.75,5,9,Autobús bicolor de dos plantas.
1095,Un primer plano de un animal con una cara larga de pie en la hierba cerca de un árbol.,Un primer plano de una mujer con botas negras junto a una motocicleta azul.,0.0,19,14,Un acercamiento a un animal de rostro alargado que se halla de pie en el césped junto a un árbol.
1096,Un perro marrón y blanco se sienta en una silla con motivos florales.,Un pequeño perro naranja y blanco con un collar y una campana se relaja en una almohada con estampado de flores.,0.3599999904632568,13,21,Un can de pelaje marrón y blanco descansa en una silla con estampado floral.
1097,Un grupo de personas sentadas en la mesa de un restaurante.,Un grupo de personas sentadas alrededor de una mesa con comida.,0.8399999618530274,11,11,Un conjunto de personas se encuentran sentadas en la mesa de un comedor.
1098,Dos ovejas en un acantilado mirando a la cámara.,"Dos ovejas están de pie, mirando a la cámara, mirando en direcciones opuestas.",0.4,9,13,Dos borregos en un precipicio miran hacia la cámara.
1099,Una foto en blanco y negro de una estación de tren vacía.,una foto en blanco y negro de un gato tumbado.,0.3200000047683716,12,10,Una imagen monocromática de una estación de ferrocarril desierta.
1100,Una fila de locomotoras en una vía muerta en un campo.,Un caballo marrón oscuro de pie en un campo.,0.24000000953674316,11,9,Una hilera de locomotoras se encuentra estacionada en una vía sin salida en medio de un campo.
1101,Una computadora Apple blanca se sienta en la alfombra beige de un dormitorio.,Un ordenador Apple sentado en el suelo.,0.7199999809265136,13,7,Una computadora de manzana de color blanco descansa sobre la alfombra beis de un dormitorio.
1102,un perro durmiendo bajo una mesa pequeña.,Un perro durmiendo bajo una mesa.,0.9199999809265137,7,6,Un canino descansa bajo una mesa de pequeñas dimensiones.
1103,Un barco con cuatro velas está navegando sobre el agua.,Un barco de vela navegando en el agua.,0.7199999809265136,10,8,Un navío de cuatro velas surca las aguas.
1104,Coche deportivo rojo corriendo por la pista.,Un coche deportivo rojo conduciendo rápidamente en una pista.,0.9199999809265137,7,9,Un automóvil deportivo de color rojo corre por la pista de carreras.
1105,Pájaro negro sentado en una losa de hormigón.,Un pequeño perro sentado junto a una pared blanca.,0.1600000023841858,8,9,Un ave negra se posa sobre una losa de concreto.
1106,Un autobús del Victory Liner es blanco con rayas rojas y doradas.,"Un autobús turístico blanco con rayas rojas, naranjas y amarillas.",0.6400000095367432,12,10,"Un autobús de la línea Victory, blanco con franjas rojas y doradas, se encuentra en la carretera."
1107,Autobús rojo de dos pisos al lado de la calle.,Un autobús rojo de dos pisos en una calle de la ciudad.,0.8800000190734864,10,12,Un autobús rojo de dos niveles se halla junto a la calle.
1108,Un grupo de barcazas de río con árboles al fondo.,Una joven con un casco de bicicleta con una bicicleta en el fondo.,0.0800000011920929,10,13,Un conjunto de barcazas fluviales se observa con árboles en el fondo.
1109,La gaviota está flotando en el agua.,Un gran crucero flotando en el agua.,0.24000000953674316,7,7,La gaviota se mantiene flotando sobre la superficie del agua.
1110,Una motocicleta estacionada junto a un auto.,Una moto BMW aparcada entre dos coches.,0.6,7,7,Una moto aparcada al lado de un coche.
