,sentence1,sentence2,similarity_score,aug1,aug2
1167,Una mujer y un niño pequeño sentados en una mesa de comedor sonriendo a la cámara.,Un pequeño gato acostado en una viga de madera mirando hacia la cámara.,0.0800000011920929,Una mujer y un niño pequeño sentados en una mesa de comedor mostrando una sonrisa a la cámara.,"Un diminuto felino reposa sobre una viga de madera, observando directamente al objetivo."
1168,Una estatua de Buda está sentada en una mesa con un corredor de madera.,Un pájaro parado en la cima de un poste de madera.,0.0800000011920929,Una escultura de Buda se encuentra ubicada en una mesa con un piso de madera.,"Sobre un poste de madera, un ave se posó con aplomo."
1169,Dos autobuses rojos conduciendo frente a un jardín.,Un tren entrando en una estación.,0.0,Dos autobuses rojos circulando frente a un jardín.,Un ferrocarril se acerca a un andén.
1170,Vacas pastando en un campo cubierto de nieve.,Cinco vacas pastando en un campo cubierto de nieve.,0.7599999904632568,Bovinos pacen en un terreno nevado.,Un grupo de cinco bovinos pastaba en una pradera cubierta por una capa de nieve.
1171,Un hombre montado en un caballo blanco.,Una mujer montando un caballo marrón.,0.3599999904632568,Un caballero cabalga sobre un corcel blanco.,Una amazona cabalga sobre un corcel castaño.
1172,Un hombre con camisa azul parado frente a una fuente.,"Un hombre con una camisa azul y pantalones marrones está de pie frente a una estatua de un hombre, que está en una plaza pavimentada de piedra.",0.6400000095367432,Un individuo con camiseta azul se halla frente a una fuente.,"En una plaza adornada con adoquines, un individuo con una camisa azul y pantalones marrones contempla una estatua que representa a un hombre."
1173,Una chica con equipo de montar se sienta encima de un caballo marrón.,Una chica de camisa roja está montando un caballo marrón.,0.8,Una joven con equipo ecuestre se encuentra sentada sobre un caballo castaño.,Una joven vestida de rojo cabalga a lomos de un corcel marrón.
1174,Una silla de plástico transparente delante de una estantería.,una silla de plástico transparente delante de las estanterías.,0.8399999618530274,Una silla de plástico transparente se ubica delante de una estantería.,Un asiento transparente de plástico se situaba frente a los estantes.
1175,Un perro lleva una chaqueta gris.,Un perro con una chaqueta de mascota.,0.6,Un can lleva puesta una chaqueta gris.,Un canino luciendo una prenda diseñada para su especie.
1176,Una oveja está en una ladera.,Una gran oveja de pie en una colina.,0.8,Una oveja se encuentra en una pendiente.,Un enorme cordero se yergue en la cima de una loma.
1177,Una vaca blanca y negra de pie en un campo de hierba.,una vaca blanca y negra de pie en el campo.,0.7599999904632568,Una vaca pinta se mantiene en pie en un campo verde.,Una vaca con manchas blancas y negras pastaba tranquilamente en la pradera.
1178,Una mujer con un bikini negro y jeans.,Una mujer con un sombrero negro está de pie junto al metro.,0.2,Una mujer con bikini negro y pantalones vaqueros.,"Al lado del andén del metro, una dama adornada con un sombrero oscuro permanece en posición vertical."
1179,Una chica montando un caballo marrón.,El jinete va vestido de morado y monta un caballo marrón.,0.4400000095367432,Una joven cabalga sobre un corcel marrón.,El ecuestre viste una túnica morada y cabalga sobre un corcel castaño.
1180,Hombre parado frente a un corvette amarillo.,Un hombre está parado junto a un auto deportivo amarillo.,0.6400000095367432,Un varón se halla de pie junto a un Corvette de color amarillo.,Un hombre se encuentra al lado de un auto deportivo amarillo.
1181,Un hombre sentado en la hierba mirando hacia el cielo.,El hombre está de pie en la acera delante del caballo.,0.0,Un hombre se encuentra sentado sobre el césped mirando hacia el firmamento.,El individuo está de pie en el borde de la carretera frente al animal.
1182,Un hombre posa frente a una gran fuente con una estatua en la parte superior.,Un hombre con camisa azul parado frente a una fuente.,0.5599999904632569,Un hombre se sitúa frente a una imponente fuente con una escultura en su cima.,Un hombre vestido con una camisa azul está frente a una fuente de agua.
1183,Un gato blanco parado en una alfombra.,Una oveja de pie en un bosque.,0.0800000011920929,Un felino blanco se mantiene en pie sobre una alfombra.,Una oveja se encuentra de pie en un bosque.
1184,Un televisor de pantalla plana en el suelo.,Un televisor de pantalla plana se sienta en el suelo.,1.0,Un televisor de pantalla plana se encuentra en el suelo.,Un televisor de pantalla plana se encuentra colocado en el piso.
1185,Dos caballos marrones de pie en un campo de hierba.,Dos hombres navegando en un pequeño velero.,0.0,Dos equinos de pelaje marrón se hallan de pie en un prado verde.,Dos hombres navegan en un pequeño barco a vela.
1186,Dos ovejas se paran en una puerta.,Dos carneros se paran en el suelo nevado.,0.2799999952316284,Dos ovejas se encuentran paradas en un portal.,Dos carneros se encuentran parados en un suelo cubierto de nieve.
1187,Habitación con varios monitores de ordenador.,Una habitación con cuatro monitores de ordenador seguidos.,0.8,Cuarto con múltiples pantallas de computadora.,Una sala contiene cuatro monitores de computadora uno junto al otro.
1188,Una línea fuera de una librería en una calle.,La moto amarilla está aparcada en la calle.,0.0800000011920929,Una fila de personas se forma fuera de una librería en la calle.,La moto amarilla está estacionada en la calle.
1189,Un avión de pasajeros se sienta en una pista.,Un gran avión de pasajeros volando cerca del suelo.,0.3599999904632568,Un avión comercial se encuentra estacionado en una pista de aterrizaje.,Un avión de pasajeros de gran tamaño vuela a baja altura.
1190,Una vieja botella verde sentada en una mesa.,Tres hombres de traje sentados en una mesa.,0.0800000011920929,Un antiguo frasco de vidrio verde descansa sobre una mesa.,Tres individuos en vestimenta formal se encuentran reunidos alrededor de una superficie plana.
1191,Dos caballos blancos mirando por encima de una valla.,Dos caballos parados en un corral.,0.6,Dos corceles blancos asoman sus cabezas por encima de una cerca.,Dos equinos se mantienen en posición estática dentro de un espacio delimitado.
1192,Las vacas blancas y negras se detienen frente a la puerta.,El avión blanco está volando en el cielo.,0.0,Las vacas de color blanco y negro se detienen frente al umbral de la puerta.,La aeronave de tonalidad clara se desplaza por el espacio aéreo.
1193,Una vaca blanca y negra de pie en un campo de hierba.,Una vaca con cuernos blancos y negros parada en un campo.,0.8,Una vaca de pelaje blanco y negro se encuentra en un prado verde.,Un ejemplar bovino con manchas blancas y negras se ubica en un terreno extenso.
1194,una foto en blanco y negro de un gato tumbado.,Una imagen en blanco y negro de un gato acostado en una alfombra.,0.8399999618530274,Una imagen en blanco y negro muestra a un felino recostado.,Una representación monocromática de un felino en posición de descanso sobre una superficie textil.
1195,"Un hombre y una mujer de pie, sonriendo para la cámara.",Un hombre y una mujer están posando para la cámara.,0.8399999618530274,"Un hombre y una mujer se encuentran de pie, sonrientes ante la cámara.",Un hombre y una mujer se sitúan en una posición específica para ser capturados por un dispositivo de imagen.
1196,Un gato naranja y blanco dormido en una silla de cuero.,Un gato de jengibre sentado en una silla de oficina.,0.6,Un gato de pelaje naranja y blanco duerme plácidamente en una silla de cuero.,Un felino de pelaje anaranjado se encuentra sentado sobre un asiento de trabajo.
1197,Un gato blanco parado en una alfombra.,Un bonito gato a rayas blancas con la cabeza colgando de la mesa.,0.3200000047683716,Un felino blanco se yergue sobre una alfombra.,Un gato elegante con líneas blancas presenta su cabeza sobre el borde de una mesa.
1198,Gatito doméstico gris y blanco acostado en un escritorio.,Un hombre y su bicicleta tumbados en la hierba verde.,0.0400000005960464,Un pequeño gato doméstico de color gris y blanco descansa sobre un escritorio.,Un varón y su vehículo de dos ruedas se encuentran recostados sobre una superficie verde.
1199,Una mujer posando frente a un edificio de apartamentos en la nieve.,Autobús blanco estacionado en la hierba frente al edificio.,0.0,Una mujer posa delante de un edificio de apartamentos cubierto de nieve.,"Un vehículo de transporte público de color blanco se encuentra estacionado en una zona verde, frente a una construcción."
1200,Una joven con un brazalete lleva un bikini y unos vaqueros.,"Una mujer que lleva vaqueros, un bikini oscuro y un brazalete.",0.9199999809265136,Una muchacha con una pulsera luce un bikini y unos jeans.,"Una dama con pantalones vaqueros, un traje de baño oscuro y una pulsera."
1201,Una mesa y sillas están en una habitación con un cuadro en la pared y un ventilador de techo.,Un autobús escolar que va por una carretera con árboles verdes y hierba al fondo.,0.0,Una mesa y sillas se encuentran en un cuarto con un cuadro en el muro y un ventilador de techo.,Un autocar escolar que avanza por un camino con árboles verdes y césped a sus espaldas.
1202,Un hombre está sentado con las piernas cruzadas en una cama viendo una pequeña televisión.,Un hombre se sienta en una cama muy cerca de un pequeño televisor.,0.6800000190734863,Un varón está sentado con las piernas entrecruzadas en una cama mirando una televisión pequeña.,Un hombre sentado en un lecho muy próximo a un pequeño televisor.
1203,Los faros de un coche azul.,Un primer plano de los faros de un coche azul.,0.8399999618530274,Los faros de un automóvil azul.,Un primer plano de los faros de un automóvil azul.
1204,Un tren de pasajeros entrando en una estación.,Un tren de pasajeros se sienta en la estación.,0.4800000190734863,Un tren de pasajeros ingresa a una estación.,Un tren de viajeros estacionado en la terminal.
1205,Un avión frente a la cámara.,Una vaca solitaria se sienta en el frío del patio.,0.0,Una aeronave enfrente de la cámara.,Una vaca solitaria se encuentra en el frío del patio.
1206,Una mujer montando un caballo marrón.,Una persona vestida de blanco en un caballo marrón.,0.6400000095367432,Una dama montando un caballo castaño.,Una persona con vestimenta blanca montada en un caballo marrón.
1207,un jockey montado a caballo.,Un jinete que monta un caballo en un corral.,0.7599999904632568,Un jinete montado a caballo.,Un jinete cabalga en un caballo dentro de un corral.
1208,Los dos perros se mezclan con los animales de peluche.,Dos perros se sientan en un sofá con muchos animales de peluche.,0.6800000190734863,Los dos caninos se mezclan con los juguetes de peluche.,Dos canes sentados en un sofá adornado con numerosos animales de felpa.
1209,Un tren está corriendo por las vías.,Un tren está corriendo por las vías en una zona rural.,0.8,Un tren está circulando por las vías.,Un tren recorre las vías en una región rural.
1210,"Alguien parado en una montaña nevada, mirando un avión.","Un hombre está parado en una montaña, mirando un avión.",0.8800000190734864,"Una persona se encuentra de pie en una cima cubierta de nieve, observando un avión en el cielo.","Un individuo se encuentra de pie en la cima de una montaña, observando un aeroplano."
1211,Un pájaro está agitando sus alas en el agua.,Un gran pájaro negro está sentado en el agua.,0.6400000095367432,Un ave agita sus alas mientras se encuentra en el agua.,Una enorme ave de color oscuro se encuentra posada sobre la superficie del agua.
1212,Un crucero atracado en un puerto.,Un crucero atracado en la costa.,0.6400000095367432,Un crucero amarrado en un puerto marítimo.,Un barco de recreo fondeado en la orilla.
1213,Un autobús rojo de dos pisos en una calle muy concurrida.,Un autobús blanco parcialmente en la nieve en una calle pública.,0.4,"Un autobús de dos plantas, de color rojo, se encuentra en una calle muy transitada.",Un vehículo de transporte público de color blanco se encuentra parcialmente cubierto de nieve en una vía pública.
1214,Una mujer acaricia a un perro en un área cercada.,Una mujer acaricia a un perro en un patio cerrado.,0.9600000381469728,Una mujer acaricia a un canino dentro de un recinto cercado.,"En un jardín vallado, una dama acaricia con ternura a su canino."
1215,Un gato blanco y negro jugando con una manta.,Un gato blanco y negro se mete en una cesta de hilo.,0.4400000095367432,Un felino de pelaje blanco y negro se divierte con una manta.,"Un felino bicolor, con manchas blancas y negras, se introduce en un recipiente de tejido."
1216,Un hombre en una bicicleta de montaña bajando una pendiente.,Este es un hombre montando una bicicleta de montaña sobre las rocas en un día claro.,0.6400000095367432,Un hombre monta en una bicicleta todoterreno y desciende por una pendiente pronunciada.,Un ciclista se desplaza con destreza por un terreno rocoso a bordo de su bicicleta de montaña bajo un cielo despejado.
1217,Un gato se reclina en una silla de oficina.,Un gato de jengibre sentado en una silla de oficina.,0.7599999904632568,Un gato se recuesta en una silla de oficina.,"Un felino rojizo, plácidamente instalado en un asiento de trabajo."
1218,Un grupo de caballos pastando en un campo.,Un caballo marrón pastando en un campo de hierba verde.,0.5199999809265137,Un conjunto de equinos pacen en un prado verde.,Un equino de pelaje castaño se alimenta tranquilamente en una extensa pradera cubierta de vegetación verde.
1219,Un grupo de personas tomando un trago.,Una fila de locomotoras en una vía muerta en un campo.,0.0,Un conjunto de personas disfrutan de una bebida juntos.,"En un terreno baldío, una hilera de locomotoras reposa inactiva sobre vías abandonadas."
1220,Dos perros en una perrera cercada miran al frente.,Dos mujeres posan en un comedor con un bebé.,0.0,Dos caninos dentro de un recinto vallado están observando hacia adelante.,"Dos damas se sitúan en un espacio destinado a comer, junto a un niño pequeño."
1221,Tres ovejas en un camino de tierra visto desde un vehículo de pasajeros.,Tres ovejas en medio del camino de grava.,0.6800000190734863,Tres ovejas en un sendero de tierra visto desde un vehículo de transporte público.,Tres animales de lana se encuentran en medio del camino de piedra.
1222,Un avión amarillo y azul está volando en el cielo.,Nueve aviones rojos y blancos volando en formación arrastrando humo.,0.2,Un avión amarillo y azul está surcando los cielos.,"Nueve aeronaves rojas y blancas vuelan en formación, dejando tras de sí una estela de vapor."
1223,El tren se sienta en la estación de tren.,El tren azul está en la estación.,0.8,El convoy se encuentra estacionado en la terminal ferroviaria.,La locomotora azul se encuentra en la terminal.
1224,Un tren sentado en las vías cerca de un campo.,Un bebé está sentado en la hierba.,0.0,Un tren detenido en las vías cercanas a un campo abierto.,Un infante descansa sobre la hierba.
1225,Un autobús rojo de dos pisos que lleva a los pasajeros.,Un autobús rojo de dos pisos está recogiendo más pasajeros en una ciudad.,0.8800000190734864,Un autobús rojo de dos niveles transportando a los pasajeros.,Un vehículo de transporte público rojo de dos pisos está recogiendo más viajeros en un área urbana.
1226,Dos tipos sentados en un sofá tomando cervezas con una chica acostada en sus regazos.,Dos mujeres mirando la calle con sus bicicletas para ver cuando pueden cruzar.,0.0,Dos individuos sentados en un sofá disfrutando de cervezas mientras una mujer descansa en sus regazos.,"Dos féminas observan la calle junto a sus vehículos de dos ruedas, esperando el momento adecuado para cruzar."
1227,Dos mujeres en la cocina mirando un objeto.,Dos mujeres en la cocina con una tomando una foto.,0.5599999904632569,Dos damas en la cocina examinando un objeto.,"Dos damas se encuentran en la estancia donde se prepara la comida, mientras una de ellas captura el momento con una cámara."
1228,Un caballo de carreras galopando sin un jinete.,Un caballo galopando mientras lleva el número 4.,0.5599999904632569,Un caballo de carreras corriendo sin un jinete encima.,Un equino corre a gran velocidad mientras luce el número cuatro.
1229,Una máquina de vapor y un tren moviéndose hacia la cámara.,Un gran pájaro de presa volando hacia la cámara.,0.1600000023841858,Una locomotora a vapor y un tren avanzando hacia la cámara.,"Una gran ave rapaz se dirige hacia el objetivo, volando con sus alas extendidas."
1230,Una foto en blanco y negro de una botella de Coca-Cola.,Esta es una foto en blanco y negro de una pequeña botella de Coca-Cola.,0.8399999618530274,Una imagen monocromática de un frasco de Coca-Cola.,La imagen muestra una diminuta botella de Coca-Cola en tonos grises.
1231,Un pequeño pájaro se posó en una rama helada.,Un pájaro amarillo posado en una rama.,0.6400000095367432,Un diminuto ave se asentó en una rama cubierta de escarcha.,Una ave de plumaje dorado se acomodó sobre una rama.
1232,Un chico con gafas escribiendo en un ordenador.,Un chico mirando la pantalla de un ordenador.,0.6400000095367432,Un muchacho con lentes tecleando en una computadora.,Un joven está frente a la pantalla de su computadora.
1233,Un camión rojo hace girar sus neumáticos mientras uno negro sale del cuadro.,Camión rojo girando neumáticos y emitiendo humo por detrás.,0.6400000095367432,Un camión rojo gira sus llantas mientras uno negro se sale del marco.,"Un camión de color rojo patina con las ruedas, dejando una estela de humo detrás."
1234,"Una sala de estar con mesa, silla y sofá junto a una gran palmera.","Una sala de estar con un sofá azul, una cama de campamento, un banco de madera y un armario.",0.4800000190734863,"Un salón con mesa, sillón y silla junto a una palmera de gran tamaño.","En la sala de estar había un sofá azul, una cama plegable, un banco de madera y un ropero."
1235,Una mujer sonriente sosteniendo un pequeño bebé.,una mujer sentada en un sofá sosteniendo a un bebé.,0.6800000190734863,Una mujer con una sonrisa en el rostro sujetando a un pequeño infante.,"Una mujer descansa en un sillón, con un pequeño en sus brazos."
1236,Una gasolinera Esso con árboles al fondo.,Dos policías parados detrás de una camioneta con un autobús al fondo.,0.0,Una estación de servicio Esso con árboles en el horizonte.,"Dos agentes de la ley se sitúan tras un vehículo utilitario, con un autobús como telón de fondo."
1237,Cuatro aviones azules y amarillos volando sobre cuatro barcos.,Cuatro aviones azules y amarillos en vuelo.,0.8399999618530274,Cuatro aviones de color azul y amarillo surcando el cielo sobre cuatro embarcaciones.,"En el cielo, cuatro aeronaves de color azul y amarillo surcan los aires."
1238,Un caballo parado cerca de una puerta con otro caballo en el fondo.,Un grupo de barcazas de río con árboles al fondo.,0.0,Un caballo detenido cerca de un portal con otro caballo al fondo.,"En el horizonte, tras una arboleda tupida, se divisan varias embarcaciones fluviales."
1239,Tres botellas están en una mesa.,Una vieja botella verde sentada en una mesa.,0.4800000190734863,Tres frascos se encuentran sobre una mesa.,"Un envase de vidrio antiguo, de tonalidad esmeralda, descansaba sobre una superficie plana."
1240,Una máquina de vapor baja por una vía de tren cerca de los árboles.,Un tren está en una estación de tren.,0.2799999952316284,Una locomotora de vapor se desplaza por una línea férrea junto a un bosque.,Un tren se encuentra inmóvil en una estación ferroviaria.
1241,Un tren está en una estación de tren.,Un tren estacionado en una estación de tren.,0.8399999618530274,Un convoy se encuentra en una plataforma ferroviaria.,Un tren se halla en reposo dentro de una estación de tren.
1242,una mujer sentada en un sofá sosteniendo a un bebé.,Pájaro sentado en un tronco en un lago.,0.0800000011920929,"Una dama se halla sentada en un sofá, cargando a un infante en brazos.",Un ave posada sobre una rama en un lago.
1243,Dos pájaros volando hacia el alimentador de agua.,Dos pájaros volando cerca de los comederos de pájaros.,0.7199999809265136,Dos aves vuelan en dirección al comedero de agua.,Dos pájaros en vuelo cerca de los bebederos de aves.
1244,Dos vacas de pie en un gran campo.,Caballo parado en un campo.,0.3200000047683716,Dos reses se encuentran de pie en un amplio campo.,Un caballo permanece quieto en un campo abierto.
1245,Un grupo de ovejas pastando en una colina.,Un grupo de ovejas están en una colina.,0.8,Un rebaño de ovejas se alimenta en una loma.,Una manada de ovejas pastan en una colina.
1246,Un hombre se para delante de un tren.,"Un hombre está parado frente a una estatua elevada,...",0.4,Un hombre se detiene frente a un tren.,Un hombre se posiciona delante de una estatua imponente.
1247,Dos mujeres están posando para la cámara y haciendo la señal de los pulgares hacia arriba.,Dos jóvenes sonrientes haciendo el signo del pulgar hacia arriba.,0.8800000190734864,"Dos damas posan frente a la cámara, mostrando el gesto de pulgares arriba.","Dos jóvenes sonríen con entusiasmo, mostrando el pulgar hacia arriba."
1248,Una mujer sostiene a un bebé pequeño mientras está sentada en un sofá.,una mujer sentada en un sofá sosteniendo a un bebé.,0.9600000381469728,Una mujer sostiene a un pequeño bebé mientras descansa en un sofá.,"Una mujer descansa en un sofá, abrazando a un bebé."
1249,Un autobús rojo de dos pisos de United en una calle de la ciudad.,Un autobús rojo de dos pisos que va por la carretera.,0.8,Un autobús rojo de dos niveles de United se encuentra en una vía urbana.,Un ómnibus rojo de dos plantas transita por la carretera.
1250,Dos mujeres sentadas en un sofá marrón.,Dos mujeres paradas afuera de un autobús.,0.2,Dos damas se hallan sentadas en un sillón de color café.,Un par de damas esperan la llegada del autobús.
1251,Un gato gris con ojos verdes mirando a la cámara.,"Un gato gris, negro y blanco mirando a la cámara.",0.6400000095367432,Un felino de pelaje gris y ojos verdes posa su mirada en la lente de la cámara.,"Un felino con manchas grises, negras y blancas observa directamente al objetivo."
1252,El pájaro está sentado en la rama.,La oveja está de pie bajo los árboles.,0.0,El ave se encuentra posada en una rama.,El cordero se encuentra erguido a la sombra de los árboles.
1253,Grupo de personas sentadas en la mesa del restaurante.,Dos personas sentadas en una mesa de un restaurante.,0.7599999904632568,Un conjunto de individuos se encuentran sentados alrededor de la mesa en el restaurante.,Un par de individuos compartiendo una comida en un establecimiento de restauración.
1254,Una vaca blanca y negra se encuentra en la hierba contra un cielo azul parcialmente nublado.,Dos vacas blancas y negras detrás de una puerta metálica contra un cielo azul parcialmente nublado.,0.4800000190734863,Una vaca de manchas blancas y negras se halla pastando en el verde césped bajo un cielo azul con algunas nubes.,"Detrás de una puerta de metal, dos vacas, una blanca y otra negra, se erigen con el cielo azul parcialmente nublado como telón de fondo."
1255,Un tipo en un caballo blanco.,Un hombre montando un caballo blanco en una arena.,0.6400000095367432,Un hombre monta un corcel blanco.,"Un jinete, sobre un corcel albino, recorre la superficie arenosa del recinto."
1256,Dos vacas lecheras bebiendo de un estanque.,Dos vacas están bebiendo de un estanque.,0.9199999809265136,Dos reses lecheras están bebiendo de un estanque.,Un par de vacas sacian su sed en un charco de agua.
1257,Hay varias ovejas esquiladas en un corral.,Tres ovejas blancas en un recinto.,0.4800000190734863,Un grupo de ovejas esquiladas se encuentran en un patio cercado.,"Un grupo de tres ovejas, de pelaje blanco inmaculado, se encuentra dentro de una cerca."
1258,El perro negro está tirado en la hierba.,Un perro negro yace en la hierba.,1.0,El canino negro yace recostado sobre el césped.,Un canino de pelaje oscuro descansa sobre el césped.
1259,"Dos jóvenes están sentados en una mesa junto a una puerta corrediza de cristal, con una persona señalando a la otra.",Dos personas se sientan frente a frente en una mesa mientras una apunta a la otra.,0.8399999618530274,"Dos muchachos se sientan en una mesa junto a una puerta corrediza de vidrio, mientras uno de ellos señala al otro.","En un ambiente de tensión, dos individuos se ubican en posiciones opuestas alrededor de una mesa, uno de ellos señalando al otro de forma directa."
1260,Un hombre y una mujer tomados de la mano caminando por la playa.,Un hombre con barba y gorra y un niño caminan por la orilla del océano.,0.4400000095367432,Una pareja de enamorados pasea por la orilla del mar tomados de la mano.,"Un hombre, adornado con barba y sombrero, acompaña a un niño en un paseo junto a la costa."
1261,Diez ovejas mirando a la cámara.,Un gato en su espalda mirando a la cámara.,0.2400000095367431,Un rebaño de diez ovejas posa frente a la lente de la cámara.,"Una felina yace boca arriba, con su mirada fija en el objetivo."
1262,Un perro blanco y negro mirando a la cámara.,Una pequeña cabra blanca y negra en un corral mirando a la cámara.,0.2799999952316284,Un perro de pelaje blanco y negro dirige su mirada hacia la cámara.,"En un recinto cerrado, una joven cabra con manchas blancas y negras observa directamente al objetivo."
1263,Una mesa negra con una silla blanca y peluda.,Una mujer con su hijo.,0.0,Una mesa oscura acompañada de una silla blanca y peluda.,Madre e hijo juntos.
1264,Un autobús rojo de dos pisos que lleva a los pasajeros.,Un autobús rojo de dos pisos que va por una calle.,0.4400000095367432,Un autobús rojo de dos plantas transporta a los pasajeros a su destino.,Un ómnibus de dos niveles rojo circula por una vía urbana.
1265,Un barco de vela navegando en el agua.,Un velero navegando en un día nublado.,0.6800000190734863,Un velero surca las aguas con gracia y elegancia.,Una embarcación a vela surcando las aguas bajo un cielo gris.
1266,Un pájaro azul se posa en la mano enguantada de una persona.,Un pájaro se posa en la mano enguantada de una persona.,0.8399999618530274,Un ave de plumaje azul se posa suavemente en la mano enguantada de alguien.,"Sobre una mano cubierta por un guante, un ave se asienta plácidamente."
1267,Una chica montada en un caballo marrón y blanco.,Una chica montando un caballo marrón.,0.7199999809265136,Una joven jinete cabalga sobre un caballo de pelaje marrón y blanco.,Una joven cabalga sobre un corcel castaño.
1268,Un tren mayormente negro en una vía.,Un coche aparcado frente a las vías del tren.,0.2,Un tren predominantemente negro se encuentra estacionado en la vía.,Un vehículo estacionado junto a las líneas férreas.
1269,Un niño coloreando con un crayón rojo y azul.,Una joven rubia con equipo de montar se sienta en la cima de un caballo gris y blanco.,0.0,Un pequeño niño dibuja con un lápiz de cera rojo y azul.,"Una mujer joven de cabello claro, vestida con ropa de equitación, se acomoda en la silla de un corcel gris y blanco."
1270,Un grupo de personas en una sala de estar.,Un grupo de cuatro personas caminando junto a un hongo gigante.,0.1600000023841858,Un conjunto de individuos en un espacio de convivencia.,Un cuarteto de individuos avanzaba en paralelo a un hongo de dimensiones colosales.
1271,Un ánade real y un pato blanco domesticado en la hierba cerca del agua.,Un niño pequeño con un vestido rosa se sienta en una mesa.,0.0,Un pato real y un pato doméstico blanco sobre el césped cerca del agua.,Un jovencito con una prenda rosada se acomoda en una silla.
1272,El gato está sentado entre dos bicicletas frente a una puerta.,que un caballo parado en un campo frente a una cerca.,0.0,El felino se encuentra ubicado entre dos bicicletas enfrente de un acceso.,"Un equino inmóvil se encontraba en un prado, frente a una valla."
1273,Una chica con una bolsa roja parada en la calle.,Un perro negro está mirando a una oveja.,0.0,Una joven con un bolso rojo detenida en la calle.,Un canino de pelaje oscuro observa fijamente a una oveja.
1274,Un jinete está montando un caballo blanco.,Una mujer que conduce un caballo blanco.,0.6800000190734863,Un jinete cabalgando sobre un corcel blanco.,Una amazona monta un corcel albino.
1275,Un largo tren está en las vías del tren.,Un tren en las vías del tren.,0.8399999618530274,Un extenso convoy se halla sobre las vías férreas.,Un ferrocarril sobre sus rieles.
1276,Un perro negro y fuego mira a una oveja negra.,Un perro negro mirando a una oveja marrón en un corral.,0.6,Un canino negro y una llama observan a una oveja de color oscuro.,"En un recinto cerrado, un canino de pelaje oscuro fija su mirada en un ovino de color café."
1277,Una habitación con varios ordenadores y fotos en la pared.,Una oficina en casa con tres monitores de ordenador y otros equipos en un escritorio.,0.5599999904632569,Un cuarto con múltiples computadoras y fotografías en el muro.,Un espacio de trabajo doméstico equipado con tres pantallas de ordenador y otros dispositivos tecnológicos colocados sobre un escritorio.
1278,Una foto en blanco y negro de una vaca caminando bajo un árbol en un campo.,Un perro blanco y negro mirando a la cámara.,0.2,Una imagen en blanco y negro de una vaca deambulando bajo un árbol en un campo.,"Un canino bicolor, con manchas blancas y negras, observa directamente al lente de la cámara."
1279,Un Jet Liner plateado de AreoMéxico sentado en el asfalto.,Un avión plateado de Aeroméxico está en una pista.,0.8399999618530274,Un Jet Liner plateado de Aeroméxico estacionado sobre el asfalto.,Una aeronave plateada de Aeroméxico se encuentra en una zona de despegue.
1280,un hombre en una moto de cross saltando muy alto.,Un hombre en una moto saltando con el cielo detrás de él.,0.6800000190734863,Un individuo en una motocicleta de motocross realiza un salto impresionante.,Un motociclista realizando un salto audaz con el cielo como telón de fondo.
1281,Dos personas navegando en un pequeño velero blanco.,Una pareja navegando en un pequeño velero.,0.8399999618530274,Dos personas surcan los mares en un pequeño y blanco velero.,Una pareja surcando las aguas en un pequeño barco a vela.
1282,Un avión blanco está estacionado en el cemento.,Una moto azul está aparcada en la acera.,0.1600000023841858,Un avión de color blanco se encuentra estacionado en el pavimento.,Una motocicleta de color azul está estacionada al borde de la calle.
1283,Tres vacas pastando en un campo.,Varias ovejas pastando en el campo.,0.1600000023841858,Tres bóvidos se alimentan en un prado.,Un rebaño de ovejas pastando en un extenso prado.
1284,El hombre está sentado en una mesa desordenada y usando un portátil.,Un hombre está sentado mirando un ordenador portátil en una mesa desordenada.,0.9600000381469728,El varón se halla sentado en una mesa en desorden mientras utiliza una computadora portátil.,Un individuo sentado frente a un ordenador portátil en un escritorio desordenado.
1285,"Una mesa de comedor con velas, vino y una tetera.","Una mesa de madera con velas, vino y un tazón de plástico púrpura.",0.6,"Una mesa de comedor adornada con velas, vino y una tetera.","Una mesa de madera adornada con velas, vino y un recipiente de plástico púrpura."
1286,Dos personas remando en una canoa roja se reflejan en las aguas tranquilas.,Dos personas en una canoa roja en un lago claro.,0.6400000095367432,Dos individuos reman en una canoa roja y su reflejo se aprecia en las aguas calmadas.,Dos individuos navegando en una canoa roja por un lago cristalino.
1287,Una mujer apenas vestida está de pie junto a un coche.,Una mujer apenas vestida de pie junto a un pequeño vehículo rojo.,0.7599999904632568,Una mujer escasamente vestida se encuentra de pie junto a un automóvil.,Una mujer con poca ropa de pie junto a un pequeño vehículo escarlata.
1288,Un autobús rojo de dos pisos que lleva a los pasajeros.,Autobús rojo de dos pisos con la capucha puesta.,0.4400000095367432,Un autobús rojo de dos niveles transporta a los pasajeros.,Un autobús rojo de dos pisos con la capota puesta.
1289,Una estatua de Buda sosteniendo una vela está sentada en una mesa.,Un hombre pescando en un pequeño bote mientras está en un lago.,0.0,Una estatua de Buda que sostiene una vela se sitúa en una mesa.,Un hombre pescando desde un pequeño bote mientras se encuentra en un lago.
1290,Tres personas sentadas en la mesa de la cena sonriendo a la cámara.,Dos ancianas se sientan en una mesa con un hombre.,0.4,"Tres individuos sonrientes se encuentran a la mesa durante la cena, mirando hacia la lente.",Dos mujeres de edad avanzada comparten una mesa con un hombre.
